Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId,Cluster
77.0,DKI Jakarta,2020/03/04 00:00:00+00,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00000,0.00000,77.0,3648,0
78.0,Jambi,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,78.0,3649,0
79.0,Jawa Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,79.0,3650,0
80.0,Jawa Tengah,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,80.0,3651,0
81.0,Jawa Timur,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,81.0,3652,0
82.0,Kalimantan Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,82.0,3653,0
83.0,Kalimantan Timur,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,83.0,3654,0
84.0,Kalimantan Tengah,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,84.0,3655,0
85.0,Kalimantan Selatan,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,85.0,3656,0
86.0,Kalimantan Utara,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,86.0,3657,0
87.0,Kepulauan Riau,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,87.0,3658,0
88.0,Nusa Tenggara Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,88.0,3659,0
89.0,Sumatera Selatan,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,89.0,3660,0
90.0,Sumatera Barat,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,90.0,3661,0
91.0,Sulawesi Utara,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,91.0,3662,0
92.0,Sumatera Utara,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,92.0,3663,0
93.0,Sulawesi Tenggara,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,93.0,3664,0
94.0,Sulawesi Selatan,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,94.0,3665,0
95.0,Sulawesi Tengah,2020/03/04 00:00:00+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,95.0,3666,0
